name,artistIds,asciiName,attractionLights,availability,boosterTypes,borderColor,cardParts,colorIdentity,colorIndicator,colors,defense,duelDeck,edhrecRank,edhrecSaltiness,faceConvertedManaCost,faceFlavorName,faceManaValue,faceName,finishes,flavorName,flavorText,frameEffects,frameVersion,hand,hasAlternativeDeckLimit,hasContentWarning,hasFoil,hasNonFoil,isAlternative,isFullArt,isFunny,isOnlineOnly,isOversized,isPromo,isRebalanced,isReprint,isReserved,isStarter,isStorySpotlight,isTextless,isTimeshifted,keywords,language,layout,leadershipSkills,life,loyalty,manaCost,manaValue,originalPrintings,originalReleaseDate,originalText,originalType,otherFaceIds,power,printings,promoTypes,rarity,rebalancedPrintings,relatedCards,securityStamp,setCode,side,signature,sourceProducts,subsets,subtypes,supertypes,text,toughness,type,types,uuid,variations,watermark
Lay Down Arms,5a50ced2-b301-4195-8af4-f7e1bae07d28,,,"arena, mtgo, paper",default,black,,W,,W,,,7095,0.12,,,,,"nonfoil, foil",,"She'll swing a blade all her life, but never again for war.",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{W},1,,,,,,,BRO,,uncommon,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,,,Exile target creature with mana value less than or equal to the number of Plains you control. Its controller gains 3 life.,,Sorcery,Sorcery,75daa469-6ba9-5c9b-a5e3-9509cfb6cf62,c0712b85-a002-5e55-98e9-902bb3776977,
Loran of the Third Path,f07d73b9-52a0-4fe5-858b-61f7b42174a5,,,"arena, mtgo, paper",default,black,,W,,W,,,787,0.32,,,,,"nonfoil, foil",,"As a scholar, she saw the sylex not as a weapon, but as a key to the past.",legendary,2015,,,,True,True,,,,,,,,,,,,,,Vigilance,English,normal,"{""brawl"": true, ""commander"": true, ""oathbreaker"": false}",,,{2}{W},3,,,,,,2,"BRO, PBRO, PRM",,rare,,,oval,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,"Human, Artificer",Legendary,"Vigilance\nWhen Loran of the Third Path enters the battlefield, destroy up to one target artifact or enchantment.\n{T}: You and target opponent each draw a card.",1,Legendary Creature â€” Human Artificer,Creature,04e54bdf-b04f-52d8-8503-4ca1fce8688e,bd7e5700-5ffc-5434-a0d0-75877b5a5a45,
"Loran, Disciple of History",c09ede88-a1b5-4a18-9895-dc8a965d28a5,,,"arena, mtgo, paper",default,black,,W,,W,,,10021,0.33,,,,,"nonfoil, foil",,"Urza and Mishra may have been Tocasia's most famous students, but Loran was the true heir to her legacy.",legendary,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,"{""brawl"": true, ""commander"": true, ""oathbreaker"": false}",,,{3}{W},4,,,,,,3,BRO,,uncommon,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b""]}",,"Human, Artificer",Legendary,"Whenever Loran, Disciple of History or another legendary creature enters the battlefield under your control, return target artifact card from your graveyard to your hand.",3,Legendary Creature â€” Human Artificer,Creature,7fba79dd-5f55-5549-9e57-d99aaddea2a6,,
Loran's Escape,20871267-2d8a-41d5-b03a-be3d557c5734,,,"arena, mtgo, paper",default,black,,W,,W,,,2414,0.14,,,,,"nonfoil, foil",,"As Terisia City burned, Feldon pressed the sylex into Loran's hands and urged her to run. Hope ran with her.",,2015,,,,True,True,,,,,,,,,,,True,,,Scry,English,normal,,,,{W},1,,,,,,,BRO,,common,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b""]}",,,,Target artifact or creature gains hexproof and indestructible until end of turn. Scry 1.,,Instant,Instant,ec4978dd-5363-5d7c-8ce2-27406d933598,,
Mass Production,95678eed-9760-4962-b380-ded14232ea3e,,,"arena, mtgo, paper",default,black,,W,,W,,,14956,0.24,,,,,"nonfoil, foil",,"""I need an army, not a masterpiece. Accelerate output, whatever it takes.""\nâ€”Urza, notes to his engineers",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{5}{W},6,,,,,,,BRO,,uncommon,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b""]}",,,,Create four 1/1 colorless Soldier artifact creature tokens.,,Sorcery,Sorcery,750e9798-2294-5b8f-9022-e90b37f8e65d,,
Meticulous Excavation,ce98f39c-7cdd-47e6-a520-6c50443bb4c2,,,"arena, mtgo, paper",default,black,,W,,W,,,8838,0.27,,,,,"nonfoil, foil",,"""Remember, students, if it's glowing, humming, or whirring, don't touch it!""",,2015,,,,True,True,,,,,,,,,,,True,,,,English,normal,,,,{W},1,,,,,,,BRO,,uncommon,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b""]}",,,,"{2}{W}: Return target permanent you control to its owner's hand. If it has unearth, instead exile it, then return that card to its owner's hand. Activate only during your turn.",,Enchantment,Enchantment,8c24486d-4d6b-5c3e-a78a-26057db06745,,
Military Discipline,fa64fc53-a243-4a94-a4d2-97625ea24b4f,,,"arena, mtgo, paper",default,black,,W,,W,,,14757,0.29,,,,,"nonfoil, foil",,,,2015,,,,True,True,,,,,,,,,,,,,,"Enchant, Flash",English,normal,,,,{W},1,,,,,,,BRO,,common,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b""]}",,Aura,,"Flash\nEnchant creature\nWhen Military Discipline enters the battlefield, enchanted creature gains first strike until end of turn.\nEnchanted creature gets +1/+0.",,Enchantment â€” Aura,Enchantment,082e9de2-d7d0-59d7-8dbf-c7bf8a8509ad,,
"Myrel, Shield of Argive",89cc9475-dda2-4d13-bf88-54b92867a25c,,,"arena, mtgo, paper",default,black,,W,,W,,,1490,1,,,,,"nonfoil, foil",,,legendary,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,"{""brawl"": true, ""commander"": true, ""oathbreaker"": false}",,,{3}{W},4,,,,,,3,"BRO, PBRO, PRM",,mythic,,,oval,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,"Human, Soldier",Legendary,"During your turn, your opponents can't cast spells or activate abilities of artifacts, creatures, or enchantments.\nWhenever Myrel, Shield of Argive attacks, create X 1/1 colorless Soldier artifact creature tokens, where X is the number of Soldiers you co",4,Legendary Creature â€” Human Soldier,Creature,7e666059-3fbc-59ca-ade0-0ed75abb1584,13581180-e40f-5482-9e82-8b1d4e4332e9,
Phalanx Vanguard,2c3d2473-ff5d-4309-8194-e0b2def2ab65,,,"arena, mtgo, paper",default,black,,W,,W,,,19470,0.08,,,,,"nonfoil, foil",,"The cool, sleek automatons beside her mirrored her own iron resolve.",,2015,,,,True,True,,,,,,,,,,,,,,Vigilance,English,normal,,,,{1}{W},2,,,,,,2,BRO,,common,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,"Human, Soldier",,"Vigilance\nWhenever an artifact enters the battlefield under your control, Phalanx Vanguard gets +1/+0 until end of turn.",2,Creature â€” Human Soldier,Creature,5fbfd67f-dd8a-5e5c-9a83-93701d1ccf49,,
Powerstone Engineer,07c7ac65-dfa6-4273-9c66-ec9d8f3e2226,,,"arena, mtgo, paper",default,black,,W,,W,,,18643,,,,,,"nonfoil, foil",,"""Well there's your problemâ€”resonance leak lowering output by thirty percent. I can patch that up.""",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{1}{W},2,,,,,,2,BRO,,common,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b""]}",,"Human, Artificer",,"When Powerstone Engineer dies, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",1,Creature â€” Human Artificer,Creature,0b629b0e-376d-5259-a000-308f8cdf0dc5,,
Prison Sentence,76bc57c7-47c6-40c5-8797-8ffcce430ac7,,,"arena, mtgo, paper",default,black,,W,,W,,,11887,0.38,,,,,"nonfoil, foil",,"War prisoners were ineffective political pawns, as neither brother cared enough to trade for them.",,2015,,,,True,True,,,,,,,,,,,,,,"Enchant, Scry",English,normal,,,,{2}{W},3,,,,,,,BRO,,common,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b""]}",,Aura,,"Enchant creature\nWhen Prison Sentence enters the battlefield, scry 2.\nEnchanted creature can't attack or block, and its activated abilities can't be activated.",,Enchantment â€” Aura,Enchantment,047b6ef3-a654-5d6c-8378-057d3555c403,,
Recommission,adad79bf-cd52-456a-b170-740ed8bff0fc,,,"arena, mtgo, paper",default,black,,W,,W,,,6647,0.23,,,,,"nonfoil, foil",,"""Put your backs into it! If we don't lay claim to it, the Fallaji will!""",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{1}{W},2,,,,,,,BRO,,common,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,,,"Return target artifact or creature card with mana value 3 or less from your graveyard to the battlefield. If a creature enters the battlefield this way, it enters with an additional +1/+1 counter on it.",,Sorcery,Sorcery,afbdb5e1-6bcf-5953-867f-e7611515ba93,,
Recruitment Officer,465e38b8-7eed-4d22-a6d2-d3603ee0c00b,,,"arena, mtgo, paper",default,black,,W,,W,,,9055,,,,,,"nonfoil, foil",,"""Every name on this list is already a hero! Will you add your own to it?""",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{W},1,,,,,,2,"BRO, GDY, PRM",,uncommon,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,"Human, Soldier",,{3}{W}: Look at the top four cards of your library. You may reveal a creature card with mana value 3 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.,1,Creature â€” Human Soldier,Creature,9e9dbe89-2cd8-5e3c-9e2f-09f7171993aa,,
Repair and Recharge,31cdca96-ecde-4245-bfb6-653929d57d9c,,,"arena, mtgo, paper",default,black,,W,,W,,,11138,0.88,,,,,"nonfoil, foil",,"""Throw the bodies out. They'll just weigh down the frame.""\nâ€”Rolf, Argivian mechanic",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{3}{W}{W},5,,,,,,,BRO,,uncommon,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b""]}",,,,"Return target artifact, enchantment, or planeswalker card from your graveyard to the battlefield. Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",,Sorcery,Sorcery,6473c629-d525-55ca-b36d-0d0abaa9d8cb,,
Siege Veteran,14c7f83c-d0fb-43f0-90f3-703f910f8bb9,,,"arena, mtgo, paper",default,black,,W,,W,,,6758,,,,,,"nonfoil, foil",,"""Steady, recruit. We fight in the light of justice. We cast no shadow.""",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{2}{W},3,,,,,,2,"BRO, PBRO, PRM",,rare,,,oval,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,"Human, Soldier",,"At the beginning of combat on your turn, put a +1/+1 counter on target creature you control.\nWhenever another nontoken Soldier you control dies, create a 1/1 colorless Soldier artifact creature token.",2,Creature â€” Human Soldier,Creature,b6be96d4-e937-59b7-bd1b-a1edf15e3eea,4189b180-4dcf-5de5-a98c-7bd168f7feef,
Soul Partition,4b771085-c049-4308-930d-ec9665f803a4,,,"arena, mtgo, paper",default,black,,W,,W,,,4837,0.23,,,,,"nonfoil, foil",,"Teferi's body couldn't travel through time far enough, but with Kaya's help, his spirit could.",,2015,,,,True,True,,,,,,,,,,,True,,,,English,normal,,,,{1}{W},2,,,,,,,"BRO, PBRO, PRM",,rare,,,oval,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,,,"Exile target nonland permanent. For as long as that card remains exiled, its owner may play it. A spell cast by an opponent this way costs {2} more to cast.",,Instant,Instant,c26dd17d-fdbc-5c78-bc0e-75037167eeee,212ffd05-1709-5367-974d-de45edf2148f,
